Target_RNA_ID	Target_RNA_name	AA	DNC_AG	DNC_AC	DNC_AU	DNC_GA	DNC_GG	DNC_GC	DNC_GU	DNC_CA	DNC_CG	DNC_CC	DNC_CU	DNC_UA	DNC_UG	DNC_UC	DNC_UU	DNC_Feat_17	DNC_Feat_18	DNC_Feat_19	DNC_Feat_20	DNC_Feat_21	DNC_Feat_22	DNC_Feat_23	DNC_Feat_24	
Target_159	Pri-miR-96 RNAC  (UU loop mutant to AU basepair)	0.00359	0.00287	0.00072	0.00215	0.00287	0.0043	0.00072	0.00143	0.00072	0.00143	0.00072	0.0	0.00215	0.00072	0.00072	0.00287	0.10422	0.11203	0.11347	0.1153	0.11721	0.10847	0.13504	0.16629	
Target_160	Pri-miR-96 RNA1 (Drosha processing site only)	0.00222	0.00296	0.00074	0.00296	0.00296	0.00444	0.00074	0.00148	0.00074	0.00148	0.00074	0.0	0.00296	0.00074	0.00074	0.00296	0.10801	0.11125	0.11574	0.1109	0.11926	0.10527	0.13365	0.16708	
Target_161	Pri-miR-96 RNA2 (desired GG loop only)	0.00293	0.00293	0.00146	0.00073	0.00366	0.00512	0.00073	0.00219	0.00073	0.00219	0.00073	0.0	0.00073	0.00146	0.00073	0.00219	0.12822	0.12127	0.12041	0.09708	0.14336	0.10253	0.12258	0.13603	
Target_162	Pri-miR-96 RNA3 (both the Drosha target site and adjacent target site)	0.00203	0.00271	0.00135	0.00271	0.00338	0.00474	0.00068	0.00203	0.00068	0.00203	0.00068	0.0	0.00271	0.00135	0.00068	0.00271	0.12166	0.12347	0.12567	0.12828	0.12689	0.09562	0.09849	0.14947	
Target_163	Pri-miR-96 RNA4 (GG to GC loop mutation)	0.00205	0.00274	0.00137	0.00274	0.00342	0.00411	0.00068	0.00205	0.00068	0.00274	0.00068	0.0	0.00274	0.00068	0.00137	0.00274	0.12532	0.11886	0.13183	0.13012	0.11489	0.10378	0.10241	0.14196	
Target_164	Pri-miR-96 RNA5 (UU loop mutant to UA loop)	0.00331	0.00265	0.00132	0.00198	0.00331	0.00463	0.00066	0.00198	0.00066	0.00198	0.00066	0.0	0.00198	0.00132	0.00066	0.00265	0.11567	0.1244	0.12844	0.12664	0.12328	0.09748	0.10579	0.14853	
Target_165	Pri-miR-96 AT-rich DNA hairpin	0.00167	0.0	0.0	0.00167	0.00167	0.0	0.00334	0.00084	0.0	0.00669	0.0	0.0	0.0	0.0	0.00251	0.00418	0.15225	0.07617	0.19313	0.13624	0.18986	0.06891	0.14754	0.01333	
Target_202	5'UUU/3'AUA, miR-96 Precursor Processing Site	0.00151	0.00114	0.00076	0.00227	0.00114	0.00151	0.00303	0.00151	0.00265	0.00076	0.00114	0.00227	0.00076	0.00378	0.00189	0.00303	0.10763	0.11634	0.13005	0.14356	0.13013	0.12617	0.10051	0.11647	
Target_203	5'CGAUUU/3'GGUAUA, Expanded miR-96 Precursor Processing Site	0.00151	0.00114	0.00076	0.00227	0.00114	0.00151	0.00303	0.00151	0.00265	0.00076	0.00114	0.00227	0.00076	0.00378	0.00189	0.00303	0.10763	0.11634	0.13005	0.14356	0.13013	0.12617	0.10051	0.11647	
Target_227	Pre-miR-210	0.0	0.00191	0.00382	0.0	0.00191	0.00064	0.00572	0.00191	0.00382	0.00254	0.007	0.00318	0.0	0.00509	0.0	0.0	0.14902	0.11405	0.12345	0.13252	0.11983	0.09071	0.10517	0.12773	
