Target_RNA_ID	Target_RNA_name	A(((	A((.	A(..	A(.(	A.((	A.(.	A..(	A...	G(((	G((.	G(..	G(.(	G.((	G.(.	G..(	G...	C(((	C((.	C(..	C(.(	C.((	C.(.	C..(	C...	U(((	U((.	U(..	U(.(	U.((	U.(.	U..(	U...	
Target_159	Pri-miR-96 RNAC  (UU loop mutant to AU basepair)	0.15789	0.0	0.02632	0.02632	0.0	0.0	0.05263	0.07895	0.10526	0.0	0.02632	0.02632	0.05263	0.02632	0.0	0.07895	0.02632	0.05263	0.0	0.0	0.0	0.02632	0.0	0.0	0.23684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Target_160	Pri-miR-96 RNA1 (Drosha processing site only)	0.07895	0.02632	0.02632	0.02632	0.02632	0.0	0.05263	0.07895	0.10526	0.0	0.02632	0.02632	0.05263	0.02632	0.0	0.07895	0.02632	0.05263	0.0	0.0	0.0	0.02632	0.0	0.0	0.15789	0.02632	0.0	0.05263	0.02632	0.0	0.0	0.0	
Target_161	Pri-miR-96 RNA2 (desired GG loop only)	0.07895	0.0	0.02632	0.02632	0.02632	0.0	0.05263	0.07895	0.10526	0.0	0.02632	0.07895	0.07895	0.02632	0.0	0.07895	0.02632	0.07895	0.0	0.0	0.0	0.02632	0.0	0.0	0.15789	0.02632	0.0	0.0	0.0	0.0	0.0	0.0	
Target_162	Pri-miR-96 RNA3 (both the Drosha target site and adjacent target site)	0.06818	0.02273	0.02273	0.02273	0.04545	0.0	0.04545	0.06818	0.09091	0.0	0.02273	0.06818	0.06818	0.02273	0.0	0.06818	0.02273	0.06818	0.0	0.0	0.0	0.02273	0.0	0.0	0.13636	0.04545	0.0	0.04545	0.02273	0.0	0.0	0.0	
Target_163	Pri-miR-96 RNA4 (GG to GC loop mutation)	0.09091	0.02273	0.02273	0.02273	0.02273	0.0	0.04545	0.06818	0.13636	0.0	0.02273	0.02273	0.04545	0.02273	0.0	0.06818	0.06818	0.04545	0.0	0.0	0.0	0.02273	0.0	0.0	0.15909	0.02273	0.0	0.04545	0.02273	0.0	0.0	0.0	
Target_164	Pri-miR-96 RNA5 (UU loop mutant to UA loop)	0.13636	0.0	0.02273	0.02273	0.02273	0.0	0.04545	0.06818	0.09091	0.0	0.02273	0.06818	0.06818	0.02273	0.0	0.06818	0.02273	0.06818	0.0	0.0	0.0	0.02273	0.0	0.0	0.20455	0.02273	0.0	0.0	0.0	0.0	0.0	0.0	
Target_165	Pri-miR-96 AT-rich DNA hairpin	0.15385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23077	0.03846	0.0	0.0	0.0	0.0	0.0	0.0	0.23077	0.0	0.0	0.0	0.03846	0.0	0.0	0.0	0.15385	0.0	0.03846	0.0	0.0	0.0	0.03846	0.07692	
Target_202	5'UUU/3'AUA, miR-96 Precursor Processing Site	0.09211	0.02632	0.01316	0.01316	0.03947	0.0	0.0	0.01316	0.13158	0.02632	0.0	0.02632	0.03947	0.0	0.01316	0.01316	0.11842	0.02632	0.0	0.0	0.02632	0.0	0.02632	0.03947	0.10526	0.05263	0.05263	0.02632	0.02632	0.0	0.02632	0.02632	
Target_203	5'CGAUUU/3'GGUAUA, Expanded miR-96 Precursor Processing Site	0.09211	0.02632	0.01316	0.01316	0.03947	0.0	0.0	0.01316	0.13158	0.02632	0.0	0.02632	0.03947	0.0	0.01316	0.01316	0.11842	0.02632	0.0	0.0	0.02632	0.0	0.02632	0.03947	0.10526	0.05263	0.05263	0.02632	0.02632	0.0	0.02632	0.02632	
Target_227	Pre-miR-210	0.06897	0.03448	0.0	0.03448	0.0	0.0	0.0	0.0	0.08621	0.12069	0.01724	0.0	0.05172	0.0	0.0	0.0	0.13793	0.01724	0.03448	0.10345	0.08621	0.01724	0.03448	0.01724	0.06897	0.01724	0.0	0.01724	0.03448	0.0	0.0	0.0	
